Vessel,Start Lat,Start Lon,End Lat,End Lon
FM,4334,6629.6,4314,6629.6
C1,4334,6627.911111,4314,6627.911111
MS,4334,6626.222222,4314,6626.222222
LB,4334,6624.533333,4314,6624.533333
LJ,4334,6622.844444,4314,6622.844444
FM,4334,6621.155556,4314,6621.155556
C1,4334,6619.466667,4314,6619.466667
MS,4334,6617.777778,4314,6617.777778
LB,4334,6616.088889,4314,6616.088889
LJ,4334,6614.4,4314,6614.4
FM,4330.12,6613.8,4314.85,6613.8
C1,4330.12,6613.1,4314.85,6613.1
MS,4330.12,6612.4,4314.85,6612.4
LB,4330.12,6611.7,4314.85,6611.7
LJ,4330.12,6611,4314.85,6611
FM,4330.12,6610.3,4314.85,6610.3
C1,4330.12,6609.6,4314.85,6609.6
MS,4330.12,6608.9,4314.85,6608.9
LB,4330.12,6608.2,4314.85,6608.2
LJ,4330.12,6607.5,4314.85,6607.5
